date,year,long_asset_ret,short_asset_ret,long_contrib,short_contrib,asymmetric_ret,vol_targeted_ret,scale
2019-01-02,2019,0.11460390931458034,0.11084896339803453,0.11460390931458034,-0.055424481699017265,0.05917942761556307,0.05917942761556307,1.0
2019-02-01,2019,0.050354041447586206,0.054775683875593555,0.050354041447586206,-0.027387841937796777,0.02296619950978943,0.02296619950978943,1.0
2019-03-01,2019,0.02081834218542122,0.025653024309345417,0.02081834218542122,-0.012826512154672709,0.007991830030748511,0.007991830030748511,1.0
2019-04-01,2019,0.040477764850180314,0.0333151947616066,0.040477764850180314,-0.0166575973808033,0.023820167469377016,0.023820167469377016,1.0
2019-05-01,2019,-0.10025459809924786,-0.03701068543175002,-0.10025459809924786,0.01850534271587501,-0.08174925538337285,-0.08174925538337285,1.0
2019-06-03,2019,0.12229353807114811,0.08568631289905702,0.12229353807114811,-0.04284315644952851,0.0794503816216196,0.0794503816216196,1.0
2019-07-01,2019,-0.0038053432749067923,-0.004529059870052914,-0.0038053432749067923,0.002264529935026457,-0.0015408133398803355,-0.0015408133398803355,1.0
2019-08-01,2019,-0.05336820695118727,0.0033461501091376264,-0.05336820695118727,-0.0016730750545688132,-0.05504128200575608,-0.05504128200575608,1.0
2019-09-03,2019,0.0035056389196005517,0.0025124020785078083,0.0035056389196005517,-0.0012562010392539041,0.0022494378803466475,0.0022494378803466475,1.0
2019-10-01,2019,0.03813318907520571,0.052238468448359617,0.03813318907520571,-0.026119234224179808,0.0120139548510259,0.0120139548510259,1.0
2019-11-01,2019,0.0012062375464458042,0.03148444120163411,0.0012062375464458042,-0.015742220600817054,-0.01453598305437125,-0.01453598305437125,1.0
2019-12-02,2019,0.08256119221459052,0.043567376696710396,0.08256119221459052,-0.021783688348355198,0.060777503866235316,0.060777503866235316,1.0
2020-01-02,2020,0.007799662686809978,-0.0063893713459637555,0.007799662686809978,0.0031946856729818777,0.010994348359791857,0.010271630971524318,0.9342646453781076
2020-02-03,2020,-0.04523927594771956,-0.024889317882522178,-0.04523927594771956,0.012444658941261089,-0.03279461700645847,-0.032513742209235794,0.9914353383920489
2020-03-02,2020,-0.24235614505631542,-0.19486597268134606,-0.24235614505631542,0.09743298634067303,-0.14492315871564238,-0.14064713920890967,0.9704945741962278
2020-04-01,2020,0.34419594398410647,0.14614730062717654,0.34419594398410647,-0.07307365031358827,0.2711222936705182,0.19186368366273898,0.7076647259996318
2020-05-01,2020,0.1712500456275862,0.12960480010695946,0.1712500456275862,-0.06480240005347973,0.10644764557410646,0.05322382278705323,0.5
2020-06-01,2020,0.031162918957010993,0.014721802833595648,0.031162918957010993,-0.007360901416797824,0.023802017540213168,0.011901008770106584,0.5
2020-07-01,2020,0.02444299824673263,0.058377491759523635,0.02444299824673263,-0.029188745879761818,-0.004745747633029186,-0.002372873816514593,0.5
2020-08-03,2020,0.08358389213968183,0.061594198022031775,0.08358389213968183,-0.030797099011015888,0.05278679312866594,0.02639339656433297,0.5
2020-09-01,2020,-0.03204732796129147,-0.03228522750216271,-0.03204732796129147,0.016142613751081353,-0.015904714210210117,-0.007952357105105059,0.5
2020-10-01,2020,-0.03141783080394408,-0.011472534010789827,-0.03141783080394408,0.0057362670053949134,-0.025681563798549165,-0.012840781899274583,0.5
2020-11-02,2020,0.25023571220076485,0.11919459805306082,0.25023571220076485,-0.05959729902653041,0.19063841317423444,0.09531920658711722,0.5
2020-12-01,2020,0.027393387564402776,0.042016754104538874,0.027393387564402776,-0.021008377052269437,0.006385010512133339,0.0031925052560666696,0.5
2021-01-04,2021,0.04655415668518689,0.05568007165527602,0.04655415668518689,-0.02784003582763801,0.018714120857548883,0.009357060428774442,0.5
2021-02-01,2021,0.06432431635788922,0.060322796663343815,0.06432431635788922,-0.030161398331671908,0.03416291802621732,0.01708145901310866,0.5
2021-03-01,2021,0.01778879568383188,0.030187514915585207,0.01778879568383188,-0.015093757457792603,0.002695038226039276,0.001347519113019638,0.5
2021-04-01,2021,0.039937073602245965,0.04903999837656681,0.039937073602245965,-0.024519999188283403,0.015417074413962562,0.007708537206981281,0.5
2021-05-03,2021,0.03162938608308943,0.01811432963516964,0.03162938608308943,-0.00905716481758482,0.022572221265504608,0.01618509227849044,0.7170358684736479
2021-06-01,2021,0.014968328933659536,0.013975845543394498,0.014968328933659536,-0.006987922771697249,0.007980406161962286,0.006182470142299777,0.7747062012667764
2021-07-01,2021,-0.001377447196013235,0.004908789637859572,-0.001377447196013235,-0.002454394818929786,-0.003831842014943021,-0.002954727185727032,0.7710983840681565
2021-08-02,2021,0.015653534159298318,0.035865276361885995,0.015653534159298318,-0.017932638180942997,-0.0022791040216446797,-0.0017587923155362043,0.7717033969634257
2021-09-01,2021,-0.03978069214190864,-0.028273382489262092,-0.03978069214190864,0.014136691244631046,-0.025644000897277593,-0.019854502359417516,0.774235753576397
2021-10-01,2021,0.062269104862650394,0.04385549749024164,0.062269104862650394,-0.02192774874512082,0.04034135611752958,0.030875086082299486,0.7653457655798362
2021-11-01,2021,-0.04969756388777477,-0.037553502250438194,-0.04969756388777477,0.018776751125219097,-0.030920812762555674,-0.024385152641655,0.7886323308805391
2021-12-01,2021,0.07189742528222362,0.07653362999963702,0.07189742528222362,-0.03826681499981851,0.03363061028240511,0.06726122056481022,2.0
2022-01-03,2022,-0.042846641319836766,-0.038105884556889506,-0.042846641319836766,0.019052942278444753,-0.023793699041392013,-0.04539446928942801,1.907835734597586
