date,ticker,adj close,close,high,low,open,volume,momentum_1m,momentum_3m,momentum_6m,momentum_12m,dollar_vol,adv_3m,fwd_ret_1m,score,side
2024-12-31,VST,,137.1189422607422,139.6739477631703,136.2735817784911,139.1478377694771,2761600.0,-1.1456186301009983,0.921744135563556,2.2520822863192014,7.12754338996844,378667670.9472656,866054762.8180974,,0.07708351,LONG
2024-12-31,NVDA,,134.25328063964844,138.0322612848829,133.79341493856927,137.99226367763055,155659200.0,0.5630317076913982,1.0591417308972535,0.053277941146451235,4.513842087874009,20897758261.743164,30405781103.179848,,0.074091405,LONG
2024-12-31,CE,,69.0400161743164,69.56871325247073,68.14222509317868,68.33176087993454,1193200.0,0.14871854049401784,-3.0737880598011844,-2.532339225272285,-2.023765994168927,82378547.29919434,184711379.66229877,,0.050702564,LONG
2024-12-31,PLTR,,75.62999725341797,77.9800033569336,73.6500015258789,77.58000183105469,56267900.0,3.043718153263577,7.114068648937088,8.390286739568381,9.413185382045363,4255541122.455597,4650309472.16657,,0.047985245,LONG
2024-12-31,ENPH,,68.68000030517578,71.16000366210938,68.45999908447266,70.8499984741211,2964500.0,0.422424756135153,-2.4061677628417604,-1.6647927723182931,-1.8343829662755098,203601860.9046936,351866669.255411,,0.04481146,LONG
2024-12-31,AXON,,594.3200073242188,607.1699829101562,592.280029296875,607.1699829101562,510300.0,-0.27620236429259304,3.2867324279240115,4.293222743417331,3.3214348639572204,303281499.7375488,510579621.0363963,,0.04341263,LONG
2024-12-31,TSLA,,403.8399963378906,427.9299926757813,402.5400085449219,423.7900085449219,76825100.0,3.7201574880495825,3.786350060172676,3.015716896621712,1.366130479751052,31025048102.65808,30352059777.516586,,0.043224234,LONG
2024-12-31,MRNA,,41.58000183105469,41.790000915527344,39.38999938964844,39.709999084472656,7573700.0,0.4709220135631814,-2.1919808517887795,-3.3110166948957267,-2.1286772029789676,314914459.8678589,342978151.0329413,,0.03756068,LONG
2024-12-31,UAL,,97.0999984741211,98.25,96.02999877929688,97.81999969482422,2816800.0,1.061679752796955,4.863151509592017,4.235790560873431,3.474139014380833,273511275.7019043,535047020.81107485,,0.03249808,LONG
2024-12-31,EL,,73.6805191040039,74.19150364492323,73.06143288467274,73.58224621402385,1939800.0,1.6478110170024833,-1.3792987338657043,-1.6662327919964426,-1.8218850367376387,142925470.95794678,339957425.92975676,,0.030372724,LONG
2024-12-31,QRVO,,69.93000030517578,70.38999938964844,69.20999908447266,70.0,2671100.0,1.2199611872083453,-1.8623122461003663,-2.251461660924138,-1.5412791438447404,186790023.81515503,184169407.28473967,,0.028954362,LONG
2024-12-31,MCHP,,55.595314025878906,56.33206308513368,54.83918014220705,55.60501013606997,5711600.0,-1.5060118330413232,-1.5724541127178358,-2.057847057546811,-1.4561478827491416,317538195.59020996,462784789.3493713,,0.02797089,LONG
2024-12-31,TPL,,366.4015197753906,377.1256210147272,365.5699907144873,368.40255813887694,388200.0,-3.8812109428127033,1.4703906229825032,1.9332113797007222,2.8944702565238747,142237069.97680664,308841652.28533065,,0.02786899,LONG
2024-12-31,AES,,12.125310897827148,12.34200301471677,11.927461964359424,11.96514743271078,9508000.0,0.8100900962315841,-2.2428756595319888,-1.5187770611109763,-1.3239381658447793,115287456.01654053,174412344.75022876,,0.026072646,LONG
2024-12-31,BIIB,,152.9199981689453,153.0399932861328,150.19000244140625,150.8000030517578,1148400.0,0.25426396055725664,-1.2046762815132683,-1.8869041574275316,-1.6282577694136307,175613325.8972168,252529591.26596606,,0.02536816,LONG
2024-12-31,CEG,,222.46365356445312,225.76514899386925,221.6382759136546,225.08894475395408,1885700.0,-1.0182479044046684,-0.929508195068156,0.02604733779311148,2.240156065870917,419499711.52648926,715580197.8301518,,0.024201171,LONG
2024-12-31,CVS,,43.049072265625,43.18333031695188,41.927055415315344,42.04213322241588,11688400.0,-2.956513854906023,-1.6222571105690233,-1.2968792626012917,-1.6243559278747788,503174776.26953125,727212518.2561178,,0.024200307,LONG
2024-12-31,FICO,,1990.9300537109373,2012.6700439453125,1974.4100341796875,2012.6700439453125,168400.0,-1.5537599877848811,0.34951294421851137,0.9942427583980152,1.6126919330255671,335272621.0449218,329878583.3331396,,0.023746947,LONG
2024-12-31,HII,,184.646224975586,186.4636673682152,183.04375000969344,184.5680536468038,342700.0,0.298432442322605,-1.744258558248974,-1.4137526933614204,-1.18705973780784,63278261.29913332,107623798.76088944,,0.022533732,LONG
2024-12-31,NUE,,115.22981262207033,116.18751170339668,114.23261994090602,114.49919985665352,1240000.0,-2.828795862576705,-1.4240278249464482,-1.5053298380157207,-1.369061827928413,142884967.65136722,295489906.2844776,,0.022516752,LONG
2024-12-31,BF-B,,36.85378646850586,37.135188046845286,36.62090521176904,36.87319385683074,2363200.0,-0.4595215732945992,-1.324361315396787,-0.8200148370651815,-1.3771692296055327,87092868.18237305,98541673.99687389,,0.021678854,LONG
2024-12-31,GEV,,328.3995056152344,332.5588024324871,326.9718191828121,330.39628008352634,1793800.0,0.7821659781383407,1.943622014504613,3.89005172456266,0.0,589083033.1726074,853103996.0710071,,0.021554945,LONG
2024-12-31,DOW,,37.33879852294922,37.473713617244464,36.68748562094,36.78983524760328,6867200.0,-0.4498341460397866,-1.5573008030499567,-1.3622822319081942,-1.103756126441367,256412997.21679688,288346030.873665,,0.02114874,LONG
2024-12-31,REGN,,708.401123046875,709.0674106307058,699.5104296637612,700.017626443436,473500.0,0.21441409672391762,-1.9958323928377104,-1.8251459758277395,-0.9910663180090586,335427931.7626953,673558505.1789783,,0.02047661,LONG
